"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2021","36.200","35.000","36.700","34.950","6.46M","5.23%"
"03/17/2021","34.400","34.500","35.350","34.000","4.13M","-0.29%"
"03/16/2021","34.500","34.800","35.000","34.300","1.48M","0.88%"
"03/15/2021","34.200","35.400","35.400","34.050","1.63M","-3.66%"
"03/12/2021","35.500","35.200","35.800","35.200","1.52M","1.43%"
"03/11/2021","35.000","36.300","36.300","35.000","1.24M","-1.41%"
"03/10/2021","35.500","35.900","36.200","35.000","1.50M","-1.11%"
"03/09/2021","35.900","37.000","37.000","35.600","2.42M","-3.49%"
"03/08/2021","37.200","36.800","37.500","36.800","870.60K","-1.06%"
"03/05/2021","37.600","38.000","38.000","37.000","1.55M","-0.53%"
"03/04/2021","37.800","37.950","38.250","37.000","1.84M","-0.26%"
"03/03/2021","37.900","37.800","37.950","37.600","1.75M","1.07%"
"03/02/2021","37.500","38.000","38.000","37.300","1.91M","0.00%"
"03/01/2021","37.500","36.850","37.800","36.600","2.22M","1.35%"
"02/26/2021","37.000","35.500","37.000","34.550","8.97M","4.23%"
"02/24/2021","35.500","36.300","36.350","35.500","2.45M","-1.53%"
"02/23/2021","36.050","36.850","36.850","35.900","2.61M","-2.04%"
"02/22/2021","36.800","37.800","38.000","36.800","1.51M","-2.65%"
"02/19/2021","37.800","37.900","37.900","37.500","1.27M","-0.53%"
"02/18/2021","38.000","38.500","38.500","37.550","1.48M","-1.30%"
"02/17/2021","38.500","38.850","38.900","38.200","928.70K","-0.77%"
"02/16/2021","38.800","38.800","38.900","38.700","789.00K","0.00%"
"02/15/2021","38.800","38.800","39.150","38.500","975.00K","0.00%"
"02/11/2021","38.800","39.000","39.150","38.800","597.40K","-0.39%"
"02/10/2021","38.950","39.400","39.400","38.300","1.55M","-0.64%"
"02/09/2021","39.200","38.800","39.200","38.600","1.59M","1.29%"
"02/08/2021","38.700","38.700","38.850","38.400","2.26M","0.26%"
"02/05/2021","38.600","38.750","38.750","38.100","1.63M","0.00%"
"02/04/2021","38.600","38.600","38.700","38.000","1.56M","0.78%"
"02/03/2021","38.300","38.200","38.700","37.750","1.31M","1.46%"
"02/02/2021","37.750","38.550","38.850","37.750","2.43M","-1.69%"
"02/01/2021","38.400","36.700","38.500","36.700","2.03M","6.67%"
"01/29/2021","36.000","38.000","38.100","36.000","3.92M","-4.64%"
"01/28/2021","37.750","38.100","38.850","37.750","2.53M","-1.05%"
"01/27/2021","38.150","38.350","38.400","37.750","1.72M","-0.52%"
"01/26/2021","38.350","38.500","38.950","38.100","2.09M","-0.39%"
"01/25/2021","38.500","38.900","38.950","38.400","1.27M","0.13%"
"01/22/2021","38.450","39.600","39.600","38.200","2.74M","-1.41%"
"01/21/2021","39.000","38.450","39.600","38.150","4.12M","2.50%"
"01/20/2021","38.050","38.000","38.400","37.600","2.67M","0.26%"
"01/19/2021","37.950","37.850","38.400","37.800","3.77M","0.53%"
"01/18/2021","37.750","38.500","38.550","37.750","3.78M","-1.44%"
"01/15/2021","38.300","38.800","39.100","38.300","4.52M","-0.26%"
"01/14/2021","38.400","38.250","38.850","38.200","1.97M","0.92%"
"01/13/2021","38.050","39.000","39.000","38.050","4.51M","-1.30%"
"01/12/2021","38.550","40.550","40.550","38.550","6.12M","-3.99%"
"01/11/2021","40.150","40.050","40.850","40.000","4.08M","0.50%"
"01/08/2021","39.950","39.800","40.200","39.800","4.15M","2.70%"
"01/07/2021","38.900","39.450","40.000","38.900","3.49M","0.26%"
"01/06/2021","38.800","39.000","39.450","38.600","6.59M","1.04%"
"01/05/2021","38.400","40.850","40.850","38.400","5.49M","-6.00%"
"01/04/2021","40.850","40.900","41.696","40.800","2.26M","-0.37%"
"12/29/2020","41.000","41.500","41.500","40.900","1.44M","-1.20%"
"12/28/2020","41.500","40.850","41.500","40.400","2.76M","1.47%"
"12/23/2020","40.900","40.500","41.400","40.250","1.31M","0.99%"
"12/22/2020","40.500","40.900","41.250","40.300","2.83M","0.00%"
"12/21/2020","40.500","41.000","41.200","40.300","4.37M","0.37%"
"12/18/2020","40.350","40.950","41.100","40.200","4.88M","-1.34%"
"12/17/2020","40.900","41.600","41.750","40.550","4.63M","-1.56%"
"12/16/2020","41.550","41.400","42.000","41.400","3.14M","1.34%"
"12/15/2020","41.000","42.150","42.200","41.000","5.10M","-2.26%"
"12/14/2020","41.950","42.000","42.400","41.900","3.13M","-0.12%"
"12/11/2020","42.000","42.450","42.850","42.000","4.22M","-1.06%"
"12/10/2020","42.450","42.950","42.950","42.200","1.43M","-1.05%"
"12/09/2020","42.900","42.800","43.000","42.550","1.76M","0.94%"
"12/07/2020","42.500","42.000","42.750","42.000","1.95M","1.55%"
"12/04/2020","41.850","42.200","42.400","41.800","2.71M","-0.36%"
"12/03/2020","42.000","42.050","42.400","41.500","2.32M","-0.36%"
"12/02/2020","42.150","42.050","42.400","41.800","1.20M","0.24%"
"12/01/2020","42.050","42.900","43.150","41.600","1.98M","-0.24%"
"11/27/2020","42.150","43.000","43.000","42.050","2.90M","-1.86%"
"11/26/2020","42.950","42.300","42.950","42.000","1.01M","1.66%"
"11/25/2020","42.250","42.300","42.700","42.150","960.20K","-0.12%"
"11/24/2020","42.300","43.900","43.950","41.950","3.97M","-3.75%"
"11/23/2020","43.950","44.000","44.150","43.800","2.82M","-0.11%"
"11/20/2020","44.000","43.600","44.000","43.300","1.82M","1.03%"
"11/19/2020","43.550","43.600","43.600","43.100","1.69M","0.11%"
"11/18/2020","43.500","43.200","43.850","43.200","4.77M","0.93%"
"11/17/2020","43.100","44.000","44.150","43.100","3.21M","-1.82%"
"11/16/2020","43.900","43.250","44.700","43.200","6.10M","2.09%"
"11/13/2020","43.000","41.900","43.000","41.800","5.51M","3.61%"
"11/11/2020","41.500","41.050","41.900","41.050","4.44M","1.22%"
"11/10/2020","41.000","41.800","42.200","40.900","4.82M","0.37%"
"11/09/2020","40.850","41.800","41.800","40.800","8.90M","-2.27%"
"11/06/2020","41.800","42.300","42.450","41.550","2.52M","-0.12%"
"11/05/2020","41.850","42.000","42.150","41.750","3.79M","0.60%"
"11/04/2020","41.600","41.200","41.800","41.150","2.29M","1.09%"
"11/03/2020","41.150","41.500","41.900","41.150","3.70M","-0.24%"
"10/30/2020","41.250","41.550","41.550","41.250","5.83M","-0.72%"
"10/29/2020","41.550","42.200","42.250","41.400","3.25M","-1.54%"
"10/28/2020","42.200","43.000","43.000","42.000","4.31M","-0.47%"
"10/27/2020","42.400","44.000","44.500","42.400","3.86M","-3.09%"
"10/26/2020","43.750","43.000","43.800","42.600","2.45M","2.94%"
"10/23/2020","42.500","42.850","43.150","42.300","4.52M","-0.58%"
"10/22/2020","42.750","43.400","43.500","42.100","5.95M","-0.58%"
"10/21/2020","43.000","42.000","43.200","41.750","3.15M","3.61%"
"10/20/2020","41.500","41.700","42.600","41.500","5.38M","0.00%"
"10/19/2020","41.500","42.000","42.500","41.500","3.18M","0.24%"
"10/16/2020","41.400","43.900","44.800","41.300","7.25M","-4.39%"
"10/15/2020","43.300","44.900","44.900","43.300","4.05M","-3.56%"
"10/14/2020","44.900","46.000","46.850","44.750","3.08M","-2.18%"
"10/13/2020","45.900","45.500","46.000","45.000","773.90K","0.88%"
"10/12/2020","45.500","45.500","45.600","44.900","1.89M","0.00%"
